Complexity metrics,sábado, 4 dez 2021 22:17:09 GMT
Method,CogC,ev(G),iv(G),v(G)
"org.jabref.cli.ArgumentProcessor.writeMetadatatoPDFsOfEntry(BibDatabaseContext,String,BibEntry,Charset,FilePreferences,XmpPdfExporter,EmbeddedBibFilePdfExporter,boolean,boolean)",9,1,6,6
"org.jabref.cli.ArgumentProcessor.writeMetadatatoPdf(List<ParserResult>,String,Charset,XmpPreferences,FilePreferences,BibDatabaseMode,BibEntryTypesManager,FieldWriterPreferences,boolean,boolean)",8,3,6,6
"org.jabref.cli.ArgumentProcessor.writeMetadatatoPdfByCitekey(BibDatabaseContext,BibDatabase,Vector<String>,Charset,FilePreferences,XmpPdfExporter,EmbeddedBibFilePdfExporter,boolean,boolean)",5,3,4,4
"org.jabref.cli.ArgumentProcessor.writeMetadatatoPdfByFileNames(BibDatabaseContext,BibDatabase,Vector<String>,Charset,FilePreferences,XmpPdfExporter,EmbeddedBibFilePdfExporter,boolean,boolean)",28,1,10,10
"org.jabref.cli.AuxCommandLine.AuxCommandLine(String,BibDatabase)",0,1,1,1
"org.jabref.cli.AuxCommandLine.perform()",2,1,3,3
"org.jabref.cli.AuxCommandLineTest.setUp()",0,1,1,1
"org.jabref.cli.AuxCommandLineTest.test()",0,1,1,1
"org.jabref.cli.CrossrefFetcherEvaluator.CrossrefFetcherEvaluator()",0,1,1,1
"org.jabref.cli.CrossrefFetcherEvaluator.main(String[])",28,1,8,8
"org.jabref.cli.GenerateCharacterTable.GenerateCharacterTable()",0,1,1,1
"org.jabref.cli.GenerateCharacterTable.main(String[])",3,1,3,3
"org.jabref.cli.JabRefCLI.JabRefCLI(String[])",0,1,1,1
"org.jabref.cli.JabRefCLI.displayVersion()",0,1,1,1
"org.jabref.cli.JabRefCLI.getAuxImport()",0,1,1,1
"org.jabref.cli.JabRefCLI.getBibtexImport()",0,1,1,1
"org.jabref.cli.JabRefCLI.getExportMatches()",0,1,1,1
"org.jabref.cli.JabRefCLI.getExportMatchesSyntax()",0,1,1,1
"org.jabref.cli.JabRefCLI.getFetcherEngine()",0,1,1,1
"org.jabref.cli.JabRefCLI.getFileExport()",0,1,1,1
"org.jabref.cli.JabRefCLI.getFileImport()",0,1,1,1
"org.jabref.cli.JabRefCLI.getImportToOpenBase()",0,1,1,1
"org.jabref.cli.JabRefCLI.getLeftOver()",0,1,1,1
"org.jabref.cli.JabRefCLI.getOptions()",0,1,1,1
"org.jabref.cli.JabRefCLI.getPreferencesExport()",0,1,1,1
"org.jabref.cli.JabRefCLI.getPreferencesImport()",0,1,1,1
"org.jabref.cli.JabRefCLI.getPreferencesReset()",0,1,1,1
"org.jabref.cli.JabRefCLI.getVersionInfo()",0,1,1,1
"org.jabref.cli.JabRefCLI.getWriteMetadatatoPdf()",6,1,4,4
"org.jabref.cli.JabRefCLI.isAutomaticallySetFileLinks()",0,1,1,1
"org.jabref.cli.JabRefCLI.isAuxImport()",0,1,1,1
"org.jabref.cli.JabRefCLI.isBibtexImport()",0,1,1,1
"org.jabref.cli.JabRefCLI.isBlank()",0,1,1,1
"org.jabref.cli.JabRefCLI.isDebugLogging()",0,1,1,1
"org.jabref.cli.JabRefCLI.isDisableGui()",0,1,1,1
"org.jabref.cli.JabRefCLI.isEmbeddBibfileInPdf()",0,1,1,1
"org.jabref.cli.JabRefCLI.isExportMatches()",0,1,1,1
"org.jabref.cli.JabRefCLI.isFetcherEngine()",0,1,1,1
"org.jabref.cli.JabRefCLI.isFileExport()",0,1,1,1
"org.jabref.cli.JabRefCLI.isFileImport()",0,1,1,1
"org.jabref.cli.JabRefCLI.isGenerateCitationKeys()",0,1,1,1
"org.jabref.cli.JabRefCLI.isHelp()",0,1,1,1
"org.jabref.cli.JabRefCLI.isImportToOpenBase()",0,1,1,1
"org.jabref.cli.JabRefCLI.isLoadSession()",0,1,1,1
"org.jabref.cli.JabRefCLI.isPreferencesExport()",0,1,1,1
"org.jabref.cli.JabRefCLI.isPreferencesImport()",0,1,1,1
"org.jabref.cli.JabRefCLI.isPreferencesReset()",0,1,1,1
"org.jabref.cli.JabRefCLI.isShowVersion()",0,1,1,1
"org.jabref.cli.JabRefCLI.isWriteMetadatatoPdf()",0,1,1,1
"org.jabref.cli.JabRefCLI.isWriteXMPtoPdf()",0,1,1,1
"org.jabref.cli.JabRefCLI.printUsage()",0,1,1,1
"org.jabref.cli.JabRefCLITest.emptyCLILeftOversLongOptions()",0,1,1,1
"org.jabref.cli.JabRefCLITest.emptyCLILeftOversShortOptions()",0,1,1,1
"org.jabref.cli.JabRefCLITest.emptyLeftOversCLILongImportingBibtex()",0,1,1,1
"org.jabref.cli.JabRefCLITest.emptyLeftOversCLIShortImportingBibtex()",0,1,1,1
"org.jabref.cli.JabRefCLITest.emptyPreferencesLeftOver()",0,1,1,1
"org.jabref.cli.JabRefCLITest.guiDisabledForPreferencesExport()",0,1,1,1
"org.jabref.cli.JabRefCLITest.guiIsDisabledLongOptions()",0,1,1,1
"org.jabref.cli.JabRefCLITest.guiIsDisabledShortOptions()",0,1,1,1
"org.jabref.cli.JabRefCLITest.recognizesImportBibtexLong()",0,1,1,1
"org.jabref.cli.JabRefCLITest.recognizesImportBibtexShort()",0,1,1,1
"org.jabref.cli.JabRefCLITest.successfulExportOfPreferences()",0,1,1,1
"org.jabref.cli.JabRefCLITest.successfulParsingOfBibtexImportLong()",0,1,1,1
"org.jabref.cli.JabRefCLITest.successfulParsingOfBibtexImportShort()",0,1,1,1
"org.jabref.cli.JabRefCLITest.successfulParsingOfFileExportCLILongOptions()",0,1,1,1
"org.jabref.cli.JabRefCLITest.successfulParsingOfFileExportShortOptions()",0,1,1,1
"org.jabref.cli.JabRefCLITest.successfulParsingOfFileImportCLILongOptions()",0,1,1,1
"org.jabref.cli.JabRefCLITest.successfulParsingOfFileImportShortOptions()",0,1,1,1
"org.jabref.cli.SystemOutputPrinter.setStatus(String)",0,1,1,1
"org.jabref.cli.SystemOutputPrinter.showMessage(String)",0,1,1,1
"org.jabref.cli.SystemOutputPrinter.showMessage(String,String,int)",0,1,1,1
"org.jabref.gui.ClipBoardManager.ClipBoardManager(Clipboard,Clipboard,ImportFormatReader,PreferencesService)",0,1,1,1
"org.jabref.gui.ClipBoardManager.ClipBoardManager(PreferencesService)",0,1,1,1
"org.jabref.gui.ClipBoardManager.addX11Support(TextInputControl)",6,1,4,4
"org.jabref.gui.ClipBoardManager.extractData()",1,2,2,2
"org.jabref.gui.ClipBoardManager.fetchByArXiv(ArXivIdentifier)",1,1,2,2
"org.jabref.gui.ClipBoardManager.fetchByDOI(DOI)",1,1,2,2
"org.jabref.gui.ClipBoardManager.getContents()",1,2,1,2
"org.jabref.gui.ClipBoardManager.getContentsPrimary()",7,3,5,5
"org.jabref.gui.ClipBoardManager.handleBibTeXData(String)",1,1,2,2
"org.jabref.gui.ClipBoardManager.handleStringData(String)",4,4,5,5
"org.jabref.gui.ClipBoardManager.setContent(ClipboardContent)",0,1,1,1
"org.jabref.gui.ClipBoardManager.setContent(List<BibEntry>)",0,1,1,1
"org.jabref.gui.ClipBoardManager.setContent(String)",0,1,1,1
"org.jabref.gui.ClipBoardManager.setHtmlContent(String,String)",0,1,1,1
"org.jabref.gui.ClipBoardManager.setPrimaryClipboardContent(ClipboardContent)",1,1,2,2
"org.jabref.gui.ClipBoardManager.tryImportFormats(String)",1,1,2,2
"org.jabref.gui.DefaultInjector.createDependency(Class<?>)",14,12,13,13
"org.jabref.gui.DefaultInjector.injectMembers(Object,Function<String, Object>)",0,1,1,1
"org.jabref.gui.DefaultInjector.instantiatePresenter(Class<T>,Function<String, Object>)",0,1,1,1
"org.jabref.gui.DialogService.showChoiceDialogAndWait(String,String,String,Collection<T>)",0,1,1,1
"org.jabref.gui.DialogService.showErrorDialogAndWait(Exception)",0,1,1,1
"org.jabref.gui.DragAndDropHelper.getBibFiles(Dragboard)",2,2,2,2
"org.jabref.gui.DragAndDropHelper.hasBibFiles(Dragboard)",0,1,1,1
"org.jabref.gui.EntryTypeView.EntryTypeView(LibraryTab,DialogService,PreferencesService)",4,1,3,3
"org.jabref.gui.EntryTypeView.addEntriesToPane(FlowPane,Collection<? extends BibEntryType>)",3,1,3,3
"org.jabref.gui.EntryTypeView.focusTextField(Event)",0,1,1,1
"org.jabref.gui.EntryTypeView.getChoice()",0,1,1,1
"org.jabref.gui.EntryTypeView.getDescription(EntryType)",4,34,34,34
"org.jabref.gui.EntryTypeView.initialize()",10,1,5,6
"org.jabref.gui.EntryTypeView.runFetcherWorker(Event)",0,1,1,1
"org.jabref.gui.EntryTypeView.setEntryTypeForReturnAndClose(Optional<BibEntryType>)",0,1,1,1
"org.jabref.gui.EntryTypeViewModel.EntryTypeViewModel(PreferencesService,LibraryTab,DialogService,StateManager)",0,1,1,1
"org.jabref.gui.EntryTypeViewModel.FetcherWorker.call()",1,2,2,2
"org.jabref.gui.EntryTypeViewModel.fetcherItemsProperty()",0,1,1,1
"org.jabref.gui.EntryTypeViewModel.getFocusAndSelectAllProperty()",0,1,1,1
"org.jabref.gui.EntryTypeViewModel.getLastSelectedFetcher()",0,1,1,1
"org.jabref.gui.EntryTypeViewModel.idFieldValidationStatus()",0,1,1,1
"org.jabref.gui.EntryTypeViewModel.idTextProperty()",0,1,1,1
"org.jabref.gui.EntryTypeViewModel.runFetcherWorker()",18,1,7,10
"org.jabref.gui.EntryTypeViewModel.searchSuccesfulProperty()",0,1,1,1
"org.jabref.gui.EntryTypeViewModel.searchingProperty()",0,1,1,1
"org.jabref.gui.EntryTypeViewModel.selectedItemProperty()",0,1,1,1
"org.jabref.gui.EntryTypeViewModel.stopFetching()",1,1,2,2
"org.jabref.gui.EntryTypeViewModel.storeSelectedFetcher()",0,1,1,1
"org.jabref.gui.FXDialog.FXDialog(AlertType)",0,1,1,1
"org.jabref.gui.FXDialog.FXDialog(AlertType,String)",0,1,1,1
"org.jabref.gui.FXDialog.FXDialog(AlertType,String,Image)",0,1,1,1
"org.jabref.gui.FXDialog.FXDialog(AlertType,String,Image,boolean)",0,1,1,1
"org.jabref.gui.FXDialog.FXDialog(AlertType,String,boolean)",0,1,1,1
"org.jabref.gui.FXDialog.FXDialog(AlertType,boolean)",4,1,3,3
"org.jabref.gui.FXDialog.getDialogWindow()",0,1,1,1
"org.jabref.gui.FXDialog.setDialogIcon(Image)",0,1,1,1
"org.jabref.gui.FallbackExceptionHandler.installExceptionHandler()",0,1,1,1
"org.jabref.gui.FallbackExceptionHandler.uncaughtException(Thread,Throwable)",0,1,1,1
"org.jabref.gui.Globals.Globals()",0,1,1,1
"org.jabref.gui.Globals.getClipboardManager()",1,1,1,2
"org.jabref.gui.Globals.getFileUpdateMonitor()",0,1,1,1
"org.jabref.gui.Globals.getKeyPrefs()",1,1,2,2
"org.jabref.gui.Globals.getTelemetryClient()",0,1,1,1
"org.jabref.gui.Globals.shutdownThreadPools()",0,1,1,1
"org.jabref.gui.Globals.startBackgroundTasks()",2,1,3,3
"org.jabref.gui.Globals.startTelemetryClient()",1,1,2,2
"org.jabref.gui.Globals.stopBackgroundTasks()",0,1,1,1
"org.jabref.gui.Globals.stopTelemetryClient()",0,1,1,1
"org.jabref.gui.JabRefDialogService.JabRefDialogService(Window,Pane,PreferencesService)",0,1,1,1
"org.jabref.gui.JabRefDialogService.createDialog(AlertType,String,String)",0,1,1,1
"org.jabref.gui.JabRefDialogService.createDialogWithOptOut(AlertType,String,String,String,Consumer<Boolean>)",0,1,1,1
"org.jabref.gui.JabRefDialogService.getConfiguredDirectoryChooser(DirectoryDialogConfiguration)",0,1,1,1
"org.jabref.gui.JabRefDialogService.getConfiguredFileChooser(FileDialogConfiguration)",0,1,1,1
"org.jabref.gui.JabRefDialogService.notify(String)",0,1,1,1
"org.jabref.gui.JabRefDialogService.shortenDialogMessage(String)",1,2,2,2
"org.jabref.gui.JabRefDialogService.showBackgroundProgressDialogAndWait(String,String,StateManager)",2,1,2,2
"org.jabref.gui.JabRefDialogService.showChoiceDialogAndWait(String,String,String,T,Collection<T>)",0,1,1,1
"org.jabref.gui.JabRefDialogService.showConfirmationDialogAndWait(String,String)",0,1,1,1
"org.jabref.gui.JabRefDialogService.showConfirmationDialogAndWait(String,String,String)",0,1,1,1
"org.jabref.gui.JabRefDialogService.showConfirmationDialogAndWait(String,String,String,String)",0,1,1,1
"org.jabref.gui.JabRefDialogService.showConfirmationDialogWithOptOutAndWait(String,String,String,Consumer<Boolean>)",0,1,1,1
"org.jabref.gui.JabRefDialogService.showConfirmationDialogWithOptOutAndWait(String,String,String,String,String,Consumer<Boolean>)",0,1,1,1
"org.jabref.gui.JabRefDialogService.showCustomButtonDialogAndWait(AlertType,String,String,ButtonType...)",0,1,1,1
"org.jabref.gui.JabRefDialogService.showCustomDialog(BaseDialog<?>)",1,1,2,2
"org.jabref.gui.JabRefDialogService.showCustomDialogAndWait(Dialog<R>)",1,1,2,2
"org.jabref.gui.JabRefDialogService.showCustomDialogAndWait(String,DialogPane,ButtonType...)",0,1,1,1
"org.jabref.gui.JabRefDialogService.showDirectorySelectionDialog(DirectoryDialogConfiguration)",0,1,1,1
"org.jabref.gui.JabRefDialogService.showErrorDialogAndWait(String)",0,1,1,1
"org.jabref.gui.JabRefDialogService.showErrorDialogAndWait(String,String)",0,1,1,1
"org.jabref.gui.JabRefDialogService.showErrorDialogAndWait(String,String,Throwable)",0,1,1,1
"org.jabref.gui.JabRefDialogService.showErrorDialogAndWait(String,Throwable)",0,1,1,1
"org.jabref.gui.JabRefDialogService.showFileOpenDialog(FileDialogConfiguration)",0,1,1,1
"org.jabref.gui.JabRefDialogService.showFileOpenDialogAndGetMultipleFiles(FileDialogConfiguration)",1,1,2,2
"org.jabref.gui.JabRefDialogService.showFileOpenFromArchiveDialog(Path)",1,1,1,2
"org.jabref.gui.JabRefDialogService.showFileSaveDialog(FileDialogConfiguration)",0,1,1,1
"org.jabref.gui.JabRefDialogService.showInformationDialogAndWait(String,String)",0,1,1,1
"org.jabref.gui.JabRefDialogService.showInputDialogAndWait(String,String)",0,1,1,1
"org.jabref.gui.JabRefDialogService.showInputDialogWithDefaultAndWait(String,String,String)",0,1,1,1
"org.jabref.gui.JabRefDialogService.showPrintDialog(PrinterJob)",0,1,1,1
"org.jabref.gui.JabRefDialogService.showProgressDialog(String,String,Task<V>)",0,1,1,1
"org.jabref.gui.JabRefDialogService.showWarningDialogAndWait(String,String)",0,1,1,1
"org.jabref.gui.JabRefExecutorService.JabRefExecutorService()",0,1,1,1
"org.jabref.gui.JabRefExecutorService.NamedRunnable.NamedRunnable(String,Runnable)",0,1,1,1
"org.jabref.gui.JabRefExecutorService.NamedRunnable.run()",0,1,1,1
"org.jabref.gui.JabRefExecutorService.execute(Callable<T>)",0,1,1,1
"org.jabref.gui.JabRefExecutorService.execute(Runnable)",0,1,1,1
"org.jabref.gui.JabRefExecutorService.executeAll(Collection<Callable<T>>)",1,1,2,2
"org.jabref.gui.JabRefExecutorService.executeAll(Collection<Callable<T>>,int,TimeUnit)",1,1,2,2
"org.jabref.gui.JabRefExecutorService.executeAndWait(Runnable)",2,1,2,3
"org.jabref.gui.JabRefExecutorService.executeInterruptableTask(Runnable,String)",0,1,1,1
"org.jabref.gui.JabRefExecutorService.executeInterruptableTaskAndWait(Runnable)",2,1,2,3
"org.jabref.gui.JabRefExecutorService.gracefullyShutdown(ExecutorService)",5,1,4,4
"org.jabref.gui.JabRefExecutorService.manageRemoteThread(Thread)",2,2,2,2
"org.jabref.gui.JabRefExecutorService.shutdownEverything()",0,1,1,1
"org.jabref.gui.JabRefExecutorService.stopRemoteThread()",1,1,2,2
"org.jabref.gui.JabRefExecutorService.submit(TimerTask,long)",0,1,1,1
"org.jabref.gui.JabRefFrame.CloseAction.execute()",0,1,1,1
"org.jabref.gui.JabRefFrame.CloseAllDatabaseAction.execute()",1,1,2,2
"org.jabref.gui.JabRefFrame.CloseDatabaseAction.CloseDatabaseAction()",0,1,1,1
"org.jabref.gui.JabRefFrame.CloseDatabaseAction.CloseDatabaseAction(LibraryTab)",0,1,1,1
"org.jabref.gui.JabRefFrame.CloseDatabaseAction.execute()",0,1,1,1
"org.jabref.gui.JabRefFrame.CloseOthersDatabaseAction.CloseOthersDatabaseAction(LibraryTab)",0,1,1,1
"org.jabref.gui.JabRefFrame.CloseOthersDatabaseAction.execute()",3,1,3,3
"org.jabref.gui.JabRefFrame.JabRefFrame(Stage)",5,1,3,3
"org.jabref.gui.JabRefFrame.OpenDatabaseFolder.OpenDatabaseFolder(BibDatabaseContext)",0,1,1,1
"org.jabref.gui.JabRefFrame.OpenDatabaseFolder.execute()",2,1,2,2
"org.jabref.gui.JabRefFrame.UndoRedoEventManager.listen(AddUndoableActionEvent)",0,1,1,1
"org.jabref.gui.JabRefFrame.UndoRedoEventManager.listen(UndoRedoEvent)",0,1,1,1
"org.jabref.gui.JabRefFrame.UndoRedoEventManager.updateTexts(UndoChangeEvent)",0,1,1,1
"org.jabref.gui.JabRefFrame.about()",0,1,1,1
"org.jabref.gui.JabRefFrame.addImportedEntries(LibraryTab,ParserResult)",0,1,1,1
"org.jabref.gui.JabRefFrame.addParserResult(ParserResult,boolean)",8,1,4,4
"org.jabref.gui.JabRefFrame.addTab(BibDatabaseContext,boolean)",0,1,1,1
"org.jabref.gui.JabRefFrame.addTab(LibraryTab,boolean)",2,1,3,3
"org.jabref.gui.JabRefFrame.closeCurrentTab()",0,1,1,1
"org.jabref.gui.JabRefFrame.closeTab(LibraryTab)",11,6,6,8
"org.jabref.gui.JabRefFrame.confirmClose(LibraryTab)",7,3,5,6
"org.jabref.gui.JabRefFrame.confirmEmptyEntry(LibraryTab,BibDatabaseContext)",11,3,6,7
"org.jabref.gui.JabRefFrame.createMenu()",2,1,3,3
"org.jabref.gui.JabRefFrame.createNewEntryFromIdButton()",4,1,3,3
"org.jabref.gui.JabRefFrame.createTabContextMenuFor(LibraryTab,KeyBindingRepository)",0,1,1,1
"org.jabref.gui.JabRefFrame.createTaskIndicator()",11,1,6,6
"org.jabref.gui.JabRefFrame.createToolbar()",0,1,1,1
"org.jabref.gui.JabRefFrame.getBasePanelCount()",0,1,1,1
"org.jabref.gui.JabRefFrame.getCurrentLibraryTab()",2,2,2,3
"org.jabref.gui.JabRefFrame.getDialogService()",0,1,1,1
"org.jabref.gui.JabRefFrame.getFileHistory()",0,1,1,1
"org.jabref.gui.JabRefFrame.getGlobalSearchBar()",0,1,1,1
"org.jabref.gui.JabRefFrame.getLibraryTabAt(int)",0,1,1,1
"org.jabref.gui.JabRefFrame.getLibraryTabs()",0,1,1,1
"org.jabref.gui.JabRefFrame.getOpenDatabaseAction()",0,1,1,1
"org.jabref.gui.JabRefFrame.getPushToApplicationsManager()",0,1,1,1
"org.jabref.gui.JabRefFrame.getTabbedPane()",0,1,1,1
"org.jabref.gui.JabRefFrame.getUndoManager()",0,1,1,1
"org.jabref.gui.JabRefFrame.init()",11,2,5,5
"org.jabref.gui.JabRefFrame.initDragAndDrop()",10,2,3,4
"org.jabref.gui.JabRefFrame.initKeyBindings()",15,1,6,19
"org.jabref.gui.JabRefFrame.initLayout()",12,1,4,4
"org.jabref.gui.JabRefFrame.initShowTrackingNotification()",1,1,2,2
"org.jabref.gui.JabRefFrame.openAction(String)",0,1,1,1
"org.jabref.gui.JabRefFrame.quit()",17,8,8,11
"org.jabref.gui.JabRefFrame.readyForAutosave(BibDatabaseContext)",3,1,4,4
"org.jabref.gui.JabRefFrame.removeTab(LibraryTab)",0,1,1,1
"org.jabref.gui.JabRefFrame.setDividerPosition()",1,1,2,2
"org.jabref.gui.JabRefFrame.setupAllTables()",2,1,2,2
"org.jabref.gui.JabRefFrame.showLibraryTab(LibraryTab)",0,1,1,1
"org.jabref.gui.JabRefFrame.showLibraryTabAt(int)",0,1,1,1
"org.jabref.gui.JabRefFrame.showTrackingNotification()",1,1,2,2
"org.jabref.gui.JabRefFrame.tearDownJabRef(List<String>)",4,1,3,3
"org.jabref.gui.JabRefFrame.trackOpenNewDatabase(LibraryTab)",0,1,1,1
"org.jabref.gui.JabRefGUI.JabRefGUI(Stage,List<ParserResult>,boolean,PreferencesService)",0,1,1,1
"org.jabref.gui.JabRefGUI.debugLogWindowState(Stage)",1,1,2,2
"org.jabref.gui.JabRefGUI.getMainFrame()",0,1,1,1
"org.jabref.gui.JabRefGUI.isLoaded(Path)",1,1,2,2
"org.jabref.gui.JabRefGUI.isWindowPositionOutOfBounds()",0,1,1,1
"org.jabref.gui.JabRefGUI.openDatabases()",17,1,12,13
"org.jabref.gui.JabRefGUI.openLastEditedDatabases()",9,4,5,7
"org.jabref.gui.JabRefGUI.openWindow(Stage)",9,1,7,7
"org.jabref.gui.JabRefGUI.saveWindowState(Stage)",0,1,1,1
"org.jabref.gui.JabRefLauncher.main(String[])",0,1,1,1
"org.jabref.gui.JabRefMain.applyPreferences(PreferencesService)",0,1,1,1
